persons_count,landing_year,province_long_eng_desc
4675,2016,New Brunswick
1190,2016,Newfoundland and Labrador
185,2016,Northwest Territories
70,2016,Not stated
5485,2016,Nova Scotia
35,2016,Nunavut
110010,2016,Ontario
2315,2016,Prince Edward Island
53235,2016,Quebec
14855,2016,Saskatchewan
210,2016,Yukon
