persons_count,landing_year,noc_2011_level4_eng_desc
40,2003,6522 - Pursers and flight attendants
40,2003,6523 - Airline ticket and service agents
10,2003,"6524 - Ground and water transport ticket agents, cargo service representatives and related clerks"
55,2003,6525 - Hotel front desk clerks
35,2003,6531 - Tour and travel guides
10,2003,6532 - Outdoor sport and recreational guides
75,2003,6541 - Security guards and related security service occupations
25,2003,6551 - Customer services representatives - financial institutions
115,2003,6552 - Other customer and information services representatives
5,2003,"6561 - Image, social and other personal consultants"
55,2003,"6562 - Estheticians, electrologists and related occupations"
10,2003,6563 - Pet groomers and animal care workers
90,2003,6611 - Cashiers
10,2003,6621 - Service station attendants
10,2003,"6622 - Store shelf stockers, clerks and order fillers"
30,2003,6623 - Other sales related occupations
15,2003,"6711 - Food counter attendants, kitchen helpers and related support occupations"
5,2003,"6721 - Support occupations in accommodation, travel and facilities set-up services"
--,2003,"6722 - Operators and attendants in amusement, recreation and sport"
50,2003,6731 - Light duty cleaners
5,2003,6732 - Specialized cleaners
25,2003,"6733 - Janitors, caretakers and building superintendents"
5,2003,"6741 - Dry cleaning, laundry and related occupations"
15,2003,"6742 - Other service support occupations, n.e.c."
15,2003,"7201 - Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
15,2003,"7202 - Contractors and supervisors, electrical trades and telecommunications occupations"
5,2003,"7203 - Contractors and supervisors, pipefitting trades"
15,2003,"7204 - Contractors and supervisors, carpentry trades"
20,2003,"7205 - Contractors and supervisors, other construction trades, installers, repairers and servicers"
160,2003,7231 - Machinists and machining and tooling inspectors
175,2003,7232 - Tool and die makers
10,2003,7233 - Sheet metal workers
--,2003,7234 - Boilermakers
15,2003,7235 - Structural metal and platework fabricators and fitters
--,2003,7236 - Ironworkers
230,2003,7237 - Welders and related machine operators
85,2003,7241 - Electricians (except industrial and power system)
220,2003,7242 - Industrial electricians
25,2003,7243 - Power system electricians
55,2003,7244 - Electrical power line and cable workers
60,2003,7245 - Telecommunications line and cable workers
125,2003,7246 - Telecommunications installation and repair workers
5,2003,7247 - Cable television service and maintenance technicians
40,2003,7251 - Plumbers
5,2003,"7252 - Steamfitters, pipefitters and sprinkler system installers"
--,2003,7253 - Gas fitters
125,2003,7271 - Carpenters
50,2003,7272 - Cabinetmakers
30,2003,7281 - Bricklayers
10,2003,7282 - Concrete finishers
5,2003,7283 - Tilesetters
15,2003,"7284 - Plasterers, drywall installers and finishers and lathers"
10,2003,7291 - Roofers and shinglers
--,2003,7293 - Insulators
30,2003,7294 - Painters and decorators (except interior decorators)
--,2003,7295 - Floor covering installers
125,2003,"7301 - Contractors and supervisors, mechanic trades"
5,2003,"7302 - Contractors and supervisors, heavy equipment operator crews"
--,2003,"7303 - Supervisors, printing and related occupations"
--,2003,"7304 - Supervisors, railway transport operations"
5,2003,"7305 - Supervisors, motor transport and other ground transit operators"
55,2003,7311 - Construction millwrights and industrial mechanics
75,2003,7312 - Heavy-duty equipment mechanics
25,2003,7313 - Refrigeration and air conditioning mechanics
95,2003,7315 - Aircraft mechanics and aircraft inspectors
5,2003,7316 - Machine fitters
--,2003,7318 - Elevator constructors and mechanics
200,2003,"7321 - Automotive service technicians, truck and bus mechanics and mechanical repairers"
25,2003,7322 - Motor vehicle body repairers
--,2003,7331 - Oil and solid fuel heating mechanics
10,2003,7332 - Appliance servicers and repairers
35,2003,7333 - Electrical mechanics
--,2003,"7334 - Motorcycle, all-terrain vehicle and other related mechanics"
15,2003,7335 - Other small engine and small equipment repairers
--,2003,7361 - Railway and yard locomotive engineers
--,2003,7362 - Railway conductors and brakemen/women
--,2003,7371 - Crane operators
--,2003,"7372 - Drillers and blasters - surface mining, quarrying and construction"
--,2003,7373 - Water well drillers
5,2003,7381 - Printing press operators
15,2003,"7384 - Other trades and related occupations, n.e.c."
--,2003,7441 - Residential and commercial installers and servicers
--,2003,7442 - Waterworks and gas maintenance workers
15,2003,7445 - Other repairers and servicers
20,2003,7452 - Material handlers
140,2003,7511 - Transport truck drivers
25,2003,"7512 - Bus drivers, subway operators and other transit operators"
80,2003,7513 - Taxi and limousine drivers and chauffeurs
45,2003,7514 - Delivery and courier service drivers
15,2003,7521 - Heavy equipment operators (except crane)
--,2003,7531 - Railway yard and track maintenance workers
10,2003,7532 - Water transport deck and engine room crew
--,2003,7533 - Boat and cable ferry operators and related occupations
--,2003,7534 - Air transport ramp attendants
30,2003,7535 - Other automotive mechanical installers and servicers
130,2003,7611 - Construction trades helpers and labourers
115,2003,7612 - Other trades helpers and labourers
5,2003,7621 - Public works and maintenance labourers
10,2003,7622 - Railway and motor transport labourers
--,2003,"8211 - Supervisors, logging and forestry"
--,2003,"8222 - Contractors and supervisors, oil and gas drilling and services"
--,2003,8231 - Underground production and development miners
--,2003,"8232 - Oil and gas well drillers, servicers, testers and related workers"
35,2003,"8252 - Agricultural service contractors, farm supervisors and specialized livestock workers"
--,2003,"8255 - Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
--,2003,8261 - Fishing masters and officers
--,2003,8262 - Fishermen/women
--,2003,8411 - Underground mine service and support workers
5,2003,8422 - Silviculture and forestry workers
135,2003,8431 - General farm workers
--,2003,8432 - Nursery and greenhouse workers
--,2003,8441 - Fishing vessel deckhands
--,2003,8611 - Harvesting labourers
--,2003,8612 - Landscaping and grounds maintenance labourers
--,2003,8613 - Aquaculture and marine harvest labourers
--,2003,"8615 - Oil and gas drilling, servicing and related labourers"
--,2003,8616 - Logging and forestry labourers
--,2003,"9211 - Supervisors, mineral and metal processing"
--,2003,"9212 - Supervisors, petroleum, gas and chemical processing and utilities"
10,2003,"9213 - Supervisors, food, beverage and associated products processing"
--,2003,"9214 - Supervisors, plastic and rubber products manufacturing"
--,2003,"9215 - Supervisors, forest products processing"
10,2003,"9217 - Supervisors, textile, fabric, fur and leather products processing and manufacturing"
--,2003,"9222 - Supervisors, electronics manufacturing"
--,2003,"9223 - Supervisors, electrical products manufacturing"
--,2003,"9224 - Supervisors, furniture and fixtures manufacturing"
--,2003,"9226 - Supervisors, other mechanical and metal products manufacturing"
--,2003,"9227 - Supervisors, other products manufacturing and assembly"
--,2003,"9231 - Central control and process operators, mineral and metal processing"
5,2003,"9232 - Petroleum, gas and chemical process operators"
10,2003,9241 - Power engineers and power systems operators
--,2003,9243 - Water and waste treatment plant operators
25,2003,"9411 - Machine operators, mineral and metal processing"
--,2003,9412 - Foundry workers
--,2003,9413 - Glass forming and finishing machine operators and glass cutters
10,2003,"9414 - Concrete, clay and stone forming operators"
--,2003,"9415 - Inspectors and testers, mineral and metal processing"
5,2003,9416 - Metalworking and forging machine operators
20,2003,9417 - Machining tool operators
--,2003,9418 - Other metal products machine operators
--,2003,9421 - Chemical plant machine operators
5,2003,9422 - Plastics processing machine operators
--,2003,9423 - Rubber processing machine operators and related workers
--,2003,9434 - Other wood processing machine operators
--,2003,9435 - Paper converting machine operators
--,2003,9436 - Lumber graders and other wood processing inspectors and graders
--,2003,9437 - Woodworking machine operators
15,2003,"9441 - Textile fibre and yarn, hide and pelt processing machine operators and workers"
--,2003,"9442 - Weavers, knitters and other fabric making occupations"
--,2003,"9445 - Fabric, fur and leather cutters"
75,2003,9446 - Industrial sewing machine operators
--,2003,"9447 - Inspectors and graders, textile, fabric, fur and leather products manufacturing"
10,2003,"9461 - Process control and machine operators, food, beverage and associated products processing"
10,2003,"9462 - Industrial butchers and meat cutters, poultry preparers and related workers"
--,2003,"9465 - Testers and graders, food, beverage and associated products processing"
--,2003,9471 - Plateless printing equipment operators
--,2003,"9472 - Camera, platemaking and other prepress occupations"
10,2003,9473 - Binding and finishing machine operators
5,2003,9474 - Photographic and film processors
--,2003,"9522 - Motor vehicle assemblers, inspectors and testers"
20,2003,"9523 - Electronics assemblers, fabricators, inspectors and testers"
--,2003,"9524 - Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
--,2003,"9525 - Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
--,2003,9526 - Mechanical assemblers and inspectors
10,2003,"9527 - Machine operators and inspectors, electrical apparatus manufacturing"
5,2003,9532 - Furniture and fixture assemblers and inspectors
--,2003,9533 - Other wood products assemblers and inspectors
--,2003,9534 - Furniture finishers and refinishers
--,2003,"9536 - Industrial painters, coaters and metal finishing process operators"
55,2003,"9537 - Other products assemblers, finishers and inspectors"
--,2003,9611 - Labourers in mineral and metal processing
--,2003,9612 - Labourers in metal fabrication
--,2003,9613 - Labourers in chemical products processing and utilities
--,2003,"9614 - Labourers in wood, pulp and paper processing"
5,2003,9615 - Labourers in rubber and plastic products manufacturing
10,2003,9616 - Labourers in textile processing
20,2003,"9617 - Labourers in food, beverage and associated products processing"
--,2003,9618 - Labourers in fish and seafood processing
80,2003,"9619 - Other labourers in processing, manufacturing and utilities"
515,2003,Not stated
169360,2003,Other
--,2004,0011 - Legislators
20,2004,0012 - Senior government managers and officials
110,2004,"0013 - Senior managers - financial, communications and other business services"
45,2004,"0014 - Senior managers - health, education, social and community services and membership organizations"
55,2004,"0015 - Senior managers - trade, broadcasting and other services, n.e.c."
95,2004,"0016 - Senior managers - construction, transportation, production and utilities"
675,2004,0111 - Financial managers
85,2004,0112 - Human resources managers
45,2004,0113 - Purchasing managers
140,2004,0114 - Other administrative services managers
60,2004,"0121 - Insurance, real estate and financial brokerage managers"
500,2004,"0122 - Banking, credit and other investment managers"
1055,2004,"0124 - Advertising, marketing and public relations managers"
20,2004,0131 - Telecommunication carriers managers
--,2004,0132 - Postal and courier services managers
110,2004,0211 - Engineering managers
15,2004,0212 - Architecture and science managers
225,2004,0213 - Computer and information systems managers
30,2004,0311 - Managers in health care
10,2004,0411 - Government managers - health and social policy development and program administration
20,2004,"0412 - Government managers - economic analysis, policy development and program administration"
10,2004,0413 - Government managers - education policy development and program administration
10,2004,0414 - Other managers in public administration
20,2004,0421 - Administrators - post-secondary education and vocational training
25,2004,0422 - School principals and administrators of elementary and secondary education
10,2004,"0423 - Managers in social, community and correctional services"
5,2004,0431 - Commissioned police officers
--,2004,0432 - Fire chiefs and senior firefighting officers
15,2004,0433 - Commissioned officers of the Canadian Forces
5,2004,"0511 - Library, archive, museum and art gallery managers"
10,2004,"0512 - Managers - publishing, motion pictures, broadcasting and performing arts"
5,2004,"0513 - Recreation, sports and fitness program and service directors"
265,2004,0621 - Retail and wholesale trade managers
125,2004,0631 - Restaurant and food service managers
65,2004,0632 - Accommodation service managers
75,2004,"0651 - Managers in customer and personal services, n.e.c."
50,2004,0711 - Construction managers
10,2004,0712 - Home building and renovation managers
80,2004,0714 - Facility operation and maintenance managers
50,2004,0731 - Managers in transportation
10,2004,0811 - Managers in natural resources production and fishing
290,2004,0821 - Managers in agriculture
20,2004,0822 - Managers in horticulture
5,2004,0823 - Managers in aquaculture
120,2004,0911 - Manufacturing managers
10,2004,0912 - Utilities managers
1715,2004,1111 - Financial auditors and accountants
1065,2004,1112 - Financial and investment analysts
40,2004,"1113 - Securities agents, investment dealers and brokers"
145,2004,1114 - Other financial officers
140,2004,1121 - Human resources professionals
1290,2004,1122 - Professional occupations in business management consulting
175,2004,"1123 - Professional occupations in advertising, marketing and public relations"
55,2004,"1211 - Supervisors, general office and administrative support workers"
70,2004,"1212 - Supervisors, finance and insurance office workers"
5,2004,"1213 - Supervisors, library, correspondence and related information workers"
--,2004,"1214 - Supervisors, mail and message distribution occupations"
25,2004,"1215 - Supervisors, supply chain, tracking and scheduling co-ordination occupations"
495,2004,1221 - Administrative officers
195,2004,1222 - Executive assistants
290,2004,1223 - Human resources and recruitment officers
25,2004,1224 - Property administrators
340,2004,1225 - Purchasing agents and officers
15,2004,1226 - Conference and event planners
--,2004,1227 - Court officers and justices of the peace
45,2004,"1228 - Employment insurance, immigration, border services and revenue officers"
760,2004,1241 - Administrative assistants
50,2004,1242 - Legal administrative assistants
25,2004,1243 - Medical administrative assistants
45,2004,"1251 - Court reporters, medical transcriptionists and related occupations"
15,2004,1252 - Health information management occupations
250,2004,1311 - Accounting technicians and bookkeepers
10,2004,1312 - Insurance adjusters and claims examiners
25,2004,1313 - Insurance underwriters
10,2004,"1314 - Assessors, valuators and appraisers"
25,2004,"1315 - Customs, ship and other brokers"
305,2004,1411 - General office support workers
90,2004,1414 - Receptionists
10,2004,1415 - Personnel clerks
60,2004,1422 - Data entry clerks
5,2004,1423 - Desktop publishing operators and related occupations
265,2004,1431 - Accounting and related clerks
--,2004,1432 - Payroll clerks
140,2004,"1434 - Banking, insurance and other financial clerks"
15,2004,1435 - Collectors
--,2004,1451 - Library assistants and clerks
15,2004,"1452 - Correspondence, publication and regulatory clerks"
5,2004,1454 - Survey interviewers and statistical clerks
10,2004,"1511 - Mail, postal and related workers"
5,2004,1512 - Letter carriers
10,2004,"1513 - Couriers, messengers and door-to-door distributors"
25,2004,1521 - Shippers and receivers
40,2004,1522 - Storekeepers and partspersons
10,2004,1523 - Production logistics co-ordinators
20,2004,1524 - Purchasing and inventory control workers
--,2004,1525 - Dispatchers
--,2004,1526 - Transportation route and crew schedulers
160,2004,2111 - Physicists and astronomers
825,2004,2112 - Chemists
240,2004,2113 - Geoscientists and oceanographers
35,2004,2114 - Meteorologists and climatologists
55,2004,2115 - Other professional occupations in physical sciences
730,2004,2121 - Biologists and related scientists
65,2004,2122 - Forestry professionals
445,2004,"2123 - Agricultural representatives, consultants and specialists"
1930,2004,2131 - Civil engineers
2615,2004,2132 - Mechanical engineers
2940,2004,2133 - Electrical and electronics engineers
760,2004,2134 - Chemical engineers
505,2004,2141 - Industrial and manufacturing engineers
325,2004,2142 - Metallurgical and materials engineers
85,2004,2143 - Mining engineers
90,2004,2144 - Geological engineers
130,2004,2145 - Petroleum engineers
100,2004,2146 - Aerospace engineers
1650,2004,2147 - Computer engineers (except software engineers and designers)
585,2004,"2148 - Other professional engineers, n.e.c."
370,2004,2151 - Architects
30,2004,2152 - Landscape architects
95,2004,2153 - Urban and land use planners
25,2004,2154 - Land surveyors
215,2004,"2161 - Mathematicians, statisticians and actuaries"
235,2004,2211 - Chemical technologists and technicians
40,2004,2212 - Geological and mineral technologists and technicians
100,2004,2221 - Biological technologists and technicians
10,2004,2222 - Agricultural and fish products inspectors
10,2004,2223 - Forestry technologists and technicians
15,2004,2224 - Conservation and fishery officers
85,2004,2225 - Landscape and horticulture technicians and specialists
280,2004,2231 - Civil engineering technologists and technicians
415,2004,2232 - Mechanical engineering technologists and technicians
145,2004,2233 - Industrial engineering and manufacturing technologists and technicians
50,2004,2234 - Construction estimators
750,2004,2241 - Electrical and electronics engineering technologists and technicians
115,2004,2242 - Electronic service technicians (household and business equipment)
175,2004,2243 - Industrial instrument technicians and mechanics
60,2004,"2244 - Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
40,2004,2251 - Architectural technologists and technicians
45,2004,2252 - Industrial designers
180,2004,2253 - Drafting technologists and technicians
25,2004,2254 - Land survey technologists and technicians
30,2004,2255 - Technical occupations in geomatics and meteorology
5,2004,2261 - Non-destructive testers and inspection technicians
20,2004,2262 - Engineering inspectors and regulatory officers
30,2004,2263 - Inspectors in public and environmental health and occupational health and safety
10,2004,2264 - Construction inspectors
120,2004,"2271 - Air pilots, flight engineers and flying instructors"
35,2004,2272 - Air traffic controllers and related occupations
20,2004,"2273 - Deck officers, water transport"
35,2004,"2274 - Engineer officers, water transport"
--,2004,2275 - Railway traffic controllers and marine traffic regulators
20,2004,3011 - Nursing co-ordinators and supervisors
620,2004,3012 - Registered nurses and registered psychiatric nurses
420,2004,3111 - Specialist physicians
445,2004,3112 - General practitioners and family physicians
210,2004,3113 - Dentists
225,2004,3114 - Veterinarians
15,2004,3121 - Optometrists
10,2004,3122 - Chiropractors
25,2004,3125 - Other professional occupations in health diagnosing and treating
490,2004,3131 - Pharmacists
60,2004,3132 - Dietitians and nutritionists
45,2004,3141 - Audiologists and speech-language pathologists
195,2004,3142 - Physiotherapists
40,2004,3143 - Occupational therapists
40,2004,3144 - Other professional occupations in therapy and assessment
310,2004,3211 - Medical laboratory technologists
65,2004,3212 - Medical laboratory technicians and pathologists' assistants
45,2004,3213 - Animal health technologists and veterinary technicians
50,2004,"3214 - Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
110,2004,3215 - Medical radiation technologists
60,2004,3216 - Medical sonographers
10,2004,"3217 - Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
15,2004,3219 - Other medical technologists and technicians (except dental health)
20,2004,3221 - Denturists
90,2004,3222 - Dental hygienists and dental therapists
65,2004,"3223 - Dental technologists, technicians and laboratory assistants"
10,2004,3231 - Opticians
55,2004,3232 - Practitioners of natural healing
75,2004,3233 - Licensed practical nurses
10,2004,3234 - Paramedical occupations
30,2004,3236 - Massage therapists
15,2004,3411 - Dental assistants
80,2004,"3413 - Nurse aides, orderlies and patient service associates"
45,2004,3414 - Other assisting occupations in support of health services
1790,2004,4011 - University professors and lecturers
305,2004,4021 - College and other vocational instructors
785,2004,4031 - Secondary school teachers
425,2004,4032 - Elementary school and kindergarten teachers
90,2004,4033 - Educational counsellors
10,2004,4111 - Judges
215,2004,4112 - Lawyers and Quebec notaries
140,2004,4151 - Psychologists
155,2004,4152 - Social workers
40,2004,"4153 - Family, marriage and other related counsellors"
200,2004,4154 - Professional occupations in religion
--,2004,4155 - Probation and parole officers and related occupations
10,2004,4156 - Employment counsellors
50,2004,"4161 - Natural and applied science policy researchers, consultants and program officers"
385,2004,4162 - Economists and economic policy researchers and analysts
745,2004,4163 - Business development officers and marketing researchers and consultants
110,2004,"4164 - Social policy researchers, consultants and program officers"
25,2004,"4165 - Health policy researchers, consultants and program officers"
75,2004,"4166 - Education policy researchers, consultants and program officers"
20,2004,"4167 - Recreation, sports and fitness policy researchers, consultants and program officers"
10,2004,4168 - Program officers unique to government
130,2004,"4169 - Other professional occupations in social science, n.e.c."
235,2004,4211 - Paralegal and related occupations
70,2004,4212 - Social and community service workers
60,2004,4214 - Early childhood educators and assistants
35,2004,4215 - Instructors of persons with disabilities
10,2004,4216 - Other instructors
80,2004,4217 - Other religious occupations
145,2004,4311 - Police officers (except commissioned)
15,2004,4312 - Firefighters
--,2004,4313 - Non-commissioned ranks of the Canadian Forces
1970,2004,4411 - Home child care providers
70,2004,4413 - Elementary and secondary school teacher assistants
--,2004,4421 - Sheriffs and bailiffs
--,2004,4422 - Correctional service officers
70,2004,5111 - Librarians
15,2004,5112 - Conservators and curators
20,2004,5113 - Archivists
90,2004,5121 - Authors and writers
170,2004,5122 - Editors
155,2004,5123 - Journalists
675,2004,"5125 - Translators, terminologists and interpreters"
150,2004,"5131 - Producers, directors, choreographers and related occupations"
10,2004,"5132 - Conductors, composers and arrangers"
145,2004,5133 - Musicians and singers
55,2004,5134 - Dancers
30,2004,5135 - Actors and comedians
70,2004,"5136 - Painters, sculptors and other visual artists"
35,2004,5211 - Library and public archive technicians
10,2004,5212 - Technical occupations related to museums and art galleries
55,2004,5221 - Photographers
15,2004,5222 - Film and video camera operators
25,2004,5223 - Graphic arts technicians
20,2004,5224 - Broadcast technicians
30,2004,5225 - Audio and video recording technicians
30,2004,"5226 - Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
20,2004,"5227 - Support occupations in motion pictures, broadcasting, photography and the performing arts"
25,2004,5231 - Announcers and other broadcasters
20,2004,"5232 - Other performers, n.e.c."
220,2004,5241 - Graphic designers and illustrators
135,2004,5242 - Interior designers and interior decorators
80,2004,"5243 - Theatre, fashion, exhibit and other creative designers"
45,2004,5244 - Artisans and craftspersons
15,2004,"5245 - Patternmakers - textile, leather and fur products"
25,2004,5251 - Athletes
55,2004,5252 - Coaches
--,2004,5253 - Sports officials and referees
95,2004,"5254 - Program leaders and instructors in recreation, sport and fitness"
90,2004,6211 - Retail sales supervisors
1015,2004,6221 - Technical sales specialists - wholesale trade
175,2004,6222 - Retail and wholesale buyers
40,2004,6231 - Insurance agents and brokers
30,2004,6232 - Real estate agents and salespersons
75,2004,6235 - Financial sales representatives
40,2004,6311 - Food service supervisors
10,2004,6312 - Executive housekeepers
30,2004,"6313 - Accommodation, travel, tourism and related services supervisors"
--,2004,6315 - Cleaning supervisors
145,2004,6321 - Chefs
345,2004,6322 - Cooks
25,2004,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale"
85,2004,6332 - Bakers
155,2004,6341 - Hairstylists and barbers
230,2004,"6342 - Tailors, dressmakers, furriers and milliners"
--,2004,6343 - Shoe repairers and shoemakers
30,2004,"6344 - Jewellers, jewellery and watch repairers and related occupations"
5,2004,6345 - Upholsterers
--,2004,6346 - Funeral directors and embalmers
355,2004,6411 - Sales and account representatives - wholesale trade (non-technical)
395,2004,6421 - Retail salespersons
35,2004,6511 - Maîtres d'hôtel and hosts/hostesses
35,2004,6512 - Bartenders
125,2004,6513 - Food and beverage servers
200,2004,6521 - Travel counsellors
30,2004,6522 - Pursers and flight attendants
35,2004,6523 - Airline ticket and service agents
15,2004,"6524 - Ground and water transport ticket agents, cargo service representatives and related clerks"
60,2004,6525 - Hotel front desk clerks
45,2004,6531 - Tour and travel guides
10,2004,6532 - Outdoor sport and recreational guides
70,2004,6541 - Security guards and related security service occupations
40,2004,6551 - Customer services representatives - financial institutions
135,2004,6552 - Other customer and information services representatives
5,2004,"6561 - Image, social and other personal consultants"
55,2004,"6562 - Estheticians, electrologists and related occupations"
5,2004,6563 - Pet groomers and animal care workers
--,2004,6564 - Other personal service occupations
70,2004,6611 - Cashiers
5,2004,6621 - Service station attendants
5,2004,"6622 - Store shelf stockers, clerks and order fillers"
25,2004,6623 - Other sales related occupations
5,2004,"6711 - Food counter attendants, kitchen helpers and related support occupations"
--,2004,"6721 - Support occupations in accommodation, travel and facilities set-up services"
--,2004,"6722 - Operators and attendants in amusement, recreation and sport"
45,2004,6731 - Light duty cleaners
5,2004,6732 - Specialized cleaners
35,2004,"6733 - Janitors, caretakers and building superintendents"
5,2004,"6741 - Dry cleaning, laundry and related occupations"
5,2004,"6742 - Other service support occupations, n.e.c."
5,2004,"7201 - Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
25,2004,"7202 - Contractors and supervisors, electrical trades and telecommunications occupations"
5,2004,"7203 - Contractors and supervisors, pipefitting trades"
10,2004,"7204 - Contractors and supervisors, carpentry trades"
25,2004,"7205 - Contractors and supervisors, other construction trades, installers, repairers and servicers"
170,2004,7231 - Machinists and machining and tooling inspectors
135,2004,7232 - Tool and die makers
10,2004,7233 - Sheet metal workers
--,2004,7234 - Boilermakers
15,2004,7235 - Structural metal and platework fabricators and fitters
--,2004,7236 - Ironworkers
210,2004,7237 - Welders and related machine operators
80,2004,7241 - Electricians (except industrial and power system)
160,2004,7242 - Industrial electricians
30,2004,7243 - Power system electricians
50,2004,7244 - Electrical power line and cable workers
35,2004,7245 - Telecommunications line and cable workers
115,2004,7246 - Telecommunications installation and repair workers
10,2004,7247 - Cable television service and maintenance technicians
45,2004,7251 - Plumbers
5,2004,"7252 - Steamfitters, pipefitters and sprinkler system installers"
5,2004,7253 - Gas fitters
170,2004,7271 - Carpenters
65,2004,7272 - Cabinetmakers
50,2004,7281 - Bricklayers
15,2004,7282 - Concrete finishers
10,2004,7283 - Tilesetters
10,2004,"7284 - Plasterers, drywall installers and finishers and lathers"
10,2004,7291 - Roofers and shinglers
--,2004,7292 - Glaziers
30,2004,7294 - Painters and decorators (except interior decorators)
--,2004,7295 - Floor covering installers
135,2004,"7301 - Contractors and supervisors, mechanic trades"
--,2004,"7302 - Contractors and supervisors, heavy equipment operator crews"
5,2004,"7303 - Supervisors, printing and related occupations"
5,2004,"7304 - Supervisors, railway transport operations"
--,2004,"7305 - Supervisors, motor transport and other ground transit operators"
40,2004,7311 - Construction millwrights and industrial mechanics
50,2004,7312 - Heavy-duty equipment mechanics
25,2004,7313 - Refrigeration and air conditioning mechanics
70,2004,7315 - Aircraft mechanics and aircraft inspectors
10,2004,7316 - Machine fitters
5,2004,7318 - Elevator constructors and mechanics
195,2004,"7321 - Automotive service technicians, truck and bus mechanics and mechanical repairers"
35,2004,7322 - Motor vehicle body repairers
--,2004,7331 - Oil and solid fuel heating mechanics
15,2004,7332 - Appliance servicers and repairers
40,2004,7333 - Electrical mechanics
--,2004,"7334 - Motorcycle, all-terrain vehicle and other related mechanics"
10,2004,7335 - Other small engine and small equipment repairers
--,2004,7361 - Railway and yard locomotive engineers
--,2004,7362 - Railway conductors and brakemen/women
--,2004,7371 - Crane operators
15,2004,7381 - Printing press operators
15,2004,"7384 - Other trades and related occupations, n.e.c."
10,2004,7441 - Residential and commercial installers and servicers
--,2004,7442 - Waterworks and gas maintenance workers
5,2004,7445 - Other repairers and servicers
--,2004,7451 - Longshore workers
40,2004,7452 - Material handlers
120,2004,7511 - Transport truck drivers
15,2004,"7512 - Bus drivers, subway operators and other transit operators"
60,2004,7513 - Taxi and limousine drivers and chauffeurs
35,2004,7514 - Delivery and courier service drivers
20,2004,7521 - Heavy equipment operators (except crane)
--,2004,7531 - Railway yard and track maintenance workers
10,2004,7532 - Water transport deck and engine room crew
--,2004,7533 - Boat and cable ferry operators and related occupations
--,2004,7534 - Air transport ramp attendants
20,2004,7535 - Other automotive mechanical installers and servicers
125,2004,7611 - Construction trades helpers and labourers
60,2004,7612 - Other trades helpers and labourers
5,2004,7621 - Public works and maintenance labourers
5,2004,7622 - Railway and motor transport labourers
--,2004,"8211 - Supervisors, logging and forestry"
--,2004,"8221 - Supervisors, mining and quarrying"
5,2004,"8222 - Contractors and supervisors, oil and gas drilling and services"
--,2004,8231 - Underground production and development miners
10,2004,"8232 - Oil and gas well drillers, servicers, testers and related workers"
35,2004,"8252 - Agricultural service contractors, farm supervisors and specialized livestock workers"
5,2004,"8255 - Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
--,2004,8261 - Fishing masters and officers
--,2004,8262 - Fishermen/women
--,2004,8411 - Underground mine service and support workers
--,2004,8412 - Oil and gas well drilling and related workers and services operators
--,2004,8421 - Chain saw and skidder operators
--,2004,8422 - Silviculture and forestry workers
180,2004,8431 - General farm workers
10,2004,8432 - Nursery and greenhouse workers
--,2004,8441 - Fishing vessel deckhands
--,2004,8611 - Harvesting labourers
5,2004,8612 - Landscaping and grounds maintenance labourers
--,2004,8616 - Logging and forestry labourers
5,2004,"9211 - Supervisors, mineral and metal processing"
--,2004,"9212 - Supervisors, petroleum, gas and chemical processing and utilities"
5,2004,"9213 - Supervisors, food, beverage and associated products processing"
5,2004,"9214 - Supervisors, plastic and rubber products manufacturing"
--,2004,"9215 - Supervisors, forest products processing"
15,2004,"9217 - Supervisors, textile, fabric, fur and leather products processing and manufacturing"
--,2004,"9221 - Supervisors, motor vehicle assembling"
5,2004,"9222 - Supervisors, electronics manufacturing"
--,2004,"9224 - Supervisors, furniture and fixtures manufacturing"
--,2004,"9226 - Supervisors, other mechanical and metal products manufacturing"
5,2004,"9227 - Supervisors, other products manufacturing and assembly"
10,2004,"9232 - Petroleum, gas and chemical process operators"
--,2004,"9235 - Pulping, papermaking and coating control operators"
15,2004,9241 - Power engineers and power systems operators
5,2004,9243 - Water and waste treatment plant operators
15,2004,"9411 - Machine operators, mineral and metal processing"
--,2004,9412 - Foundry workers
--,2004,9413 - Glass forming and finishing machine operators and glass cutters
5,2004,"9414 - Concrete, clay and stone forming operators"
--,2004,"9415 - Inspectors and testers, mineral and metal processing"
10,2004,9416 - Metalworking and forging machine operators
15,2004,9417 - Machining tool operators
--,2004,9418 - Other metal products machine operators
--,2004,9421 - Chemical plant machine operators
--,2004,9422 - Plastics processing machine operators
--,2004,9423 - Rubber processing machine operators and related workers
--,2004,9433 - Papermaking and finishing machine operators
--,2004,9434 - Other wood processing machine operators
5,2004,9437 - Woodworking machine operators
5,2004,"9441 - Textile fibre and yarn, hide and pelt processing machine operators and workers"
