persons_count,landing_year,noc_2011_level4_eng_desc
145,2000,"2271 - Air pilots, flight engineers and flying instructors"
40,2000,2272 - Air traffic controllers and related occupations
10,2000,"2273 - Deck officers, water transport"
5,2000,"2274 - Engineer officers, water transport"
--,2000,2275 - Railway traffic controllers and marine traffic regulators
--,2000,3011 - Nursing co-ordinators and supervisors
325,2000,3012 - Registered nurses and registered psychiatric nurses
130,2000,3111 - Specialist physicians
220,2000,3112 - General practitioners and family physicians
60,2000,3113 - Dentists
160,2000,3114 - Veterinarians
--,2000,3121 - Optometrists
10,2000,3122 - Chiropractors
10,2000,3125 - Other professional occupations in health diagnosing and treating
405,2000,3131 - Pharmacists
75,2000,3132 - Dietitians and nutritionists
40,2000,3141 - Audiologists and speech-language pathologists
130,2000,3142 - Physiotherapists
65,2000,3143 - Occupational therapists
70,2000,3144 - Other professional occupations in therapy and assessment
450,2000,3211 - Medical laboratory technologists
75,2000,3212 - Medical laboratory technicians and pathologists' assistants
60,2000,3213 - Animal health technologists and veterinary technicians
40,2000,"3214 - Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
110,2000,3215 - Medical radiation technologists
55,2000,3216 - Medical sonographers
10,2000,"3217 - Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
10,2000,3219 - Other medical technologists and technicians (except dental health)
15,2000,3221 - Denturists
75,2000,3222 - Dental hygienists and dental therapists
90,2000,"3223 - Dental technologists, technicians and laboratory assistants"
10,2000,3231 - Opticians
35,2000,3232 - Practitioners of natural healing
55,2000,3233 - Licensed practical nurses
10,2000,3234 - Paramedical occupations
40,2000,3236 - Massage therapists
25,2000,3411 - Dental assistants
95,2000,"3413 - Nurse aides, orderlies and patient service associates"
25,2000,3414 - Other assisting occupations in support of health services
610,2000,4011 - University professors and lecturers
190,2000,4021 - College and other vocational instructors
335,2000,4031 - Secondary school teachers
340,2000,4032 - Elementary school and kindergarten teachers
60,2000,4033 - Educational counsellors
10,2000,4111 - Judges
75,2000,4112 - Lawyers and Quebec notaries
110,2000,4151 - Psychologists
165,2000,4152 - Social workers
60,2000,"4153 - Family, marriage and other related counsellors"
230,2000,4154 - Professional occupations in religion
--,2000,4155 - Probation and parole officers and related occupations
--,2000,4156 - Employment counsellors
40,2000,"4161 - Natural and applied science policy researchers, consultants and program officers"
435,2000,4162 - Economists and economic policy researchers and analysts
645,2000,4163 - Business development officers and marketing researchers and consultants
95,2000,"4164 - Social policy researchers, consultants and program officers"
20,2000,"4165 - Health policy researchers, consultants and program officers"
70,2000,"4166 - Education policy researchers, consultants and program officers"
20,2000,"4167 - Recreation, sports and fitness policy researchers, consultants and program officers"
5,2000,4168 - Program officers unique to government
200,2000,"4169 - Other professional occupations in social science, n.e.c."
195,2000,4211 - Paralegal and related occupations
75,2000,4212 - Social and community service workers
60,2000,4214 - Early childhood educators and assistants
25,2000,4215 - Instructors of persons with disabilities
10,2000,4216 - Other instructors
75,2000,4217 - Other religious occupations
35,2000,4311 - Police officers (except commissioned)
15,2000,4312 - Firefighters
--,2000,4313 - Non-commissioned ranks of the Canadian Forces
1690,2000,4411 - Home child care providers
65,2000,4413 - Elementary and secondary school teacher assistants
--,2000,4422 - Correctional service officers
--,2000,"4423 - By-law enforcement and other regulatory officers, n.e.c."
105,2000,5111 - Librarians
5,2000,5112 - Conservators and curators
20,2000,5113 - Archivists
90,2000,5121 - Authors and writers
170,2000,5122 - Editors
185,2000,5123 - Journalists
675,2000,"5125 - Translators, terminologists and interpreters"
180,2000,"5131 - Producers, directors, choreographers and related occupations"
15,2000,"5132 - Conductors, composers and arrangers"
200,2000,5133 - Musicians and singers
85,2000,5134 - Dancers
35,2000,5135 - Actors and comedians
105,2000,"5136 - Painters, sculptors and other visual artists"
50,2000,5211 - Library and public archive technicians
15,2000,5212 - Technical occupations related to museums and art galleries
50,2000,5221 - Photographers
20,2000,5222 - Film and video camera operators
15,2000,5223 - Graphic arts technicians
25,2000,5224 - Broadcast technicians
40,2000,5225 - Audio and video recording technicians
50,2000,"5226 - Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
10,2000,"5227 - Support occupations in motion pictures, broadcasting, photography and the performing arts"
25,2000,5231 - Announcers and other broadcasters
60,2000,"5232 - Other performers, n.e.c."
215,2000,5241 - Graphic designers and illustrators
110,2000,5242 - Interior designers and interior decorators
155,2000,"5243 - Theatre, fashion, exhibit and other creative designers"
70,2000,5244 - Artisans and craftspersons
10,2000,"5245 - Patternmakers - textile, leather and fur products"
20,2000,5251 - Athletes
45,2000,5252 - Coaches
--,2000,5253 - Sports officials and referees
